date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:37:49	111/111	---MCZ	200	added ('OK')	text/plain	etag:%2214-1755724948;gz%22	https://fireplaytv.com/robots.txt		(from )
15:37:49	271966/-1	---M--	200	added ('OK')	text/html	etag:%222-1755693253;;;%22	https://fireplaytv.com/	C:/Meus%20Sites/Fire/fireplaytv.com/index.html	(from )
15:37:49	5456/5456	---M-Z	200	added ('OK')	text/css	etag:%221550-684864c9-ca532a2de562188c;gz%22	https://fireplaytv.com/wp-content/themes/hello-elementor/assets/css/reset.css?ver=3.4.4	C:/Meus%20Sites/Fire/fireplaytv.com/wp-content/themes/hello-elementor/assets/css/resetedb1.css	(from https://fireplaytv.com/)
15:37:50	5097/5097	---M-Z	200	added ('OK')	text/css	etag:%2213e9-684864c9-b949fdc639e715ff;gz%22	https://fireplaytv.com/wp-content/themes/hello-elementor/assets/css/theme.css?ver=3.4.4	C:/Meus%20Sites/Fire/fireplaytv.com/wp-content/themes/hello-elementor/assets/css/themeedb1.css	(from https://fireplaytv.com/)
15:37:50	1629/1629	---M-Z	200	added ('OK')	application/rss+xml	etag:%22dd82b4884a2ae87685e257f3a4d0fd6c%22	https://fireplaytv.com/comments/feed/	C:/Meus%20Sites/Fire/fireplaytv.com/comments/feed/index.html	(from https://fireplaytv.com/)
15:37:50	7182/7182	---M-Z	200	added ('OK')	text/css	etag:%221c0e-684864c9-696ca37be237377e;gz%22	https://fireplaytv.com/wp-content/themes/hello-elementor/assets/css/header-footer.css?ver=3.4.4	C:/Meus%20Sites/Fire/fireplaytv.com/wp-content/themes/hello-elementor/assets/css/header-footeredb1.css	(from https://fireplaytv.com/)
15:37:51	1845/1845	---M-Z	200	added ('OK')	application/rss+xml	etag:%22dd82b4884a2ae87685e257f3a4d0fd6c%22	https://fireplaytv.com/feed/	C:/Meus%20Sites/Fire/fireplaytv.com/feed/index.html	(from https://fireplaytv.com/)
15:37:51	53422/53422	---M-Z	200	added ('OK')	text/css	etag:%22d0ae-688d43d8-4d8264967d1d2df4;gz%22	https://fireplaytv.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.30.4	C:/Meus%20Sites/Fire/fireplaytv.com/wp-content/plugins/elementor/assets/css/frontend.min8ca5.css	(from https://fireplaytv.com/)
15:37:51	1429/1429	---M-Z	200	added ('OK')	text/css	etag:%22595-689fba0d-d876978109d8302a;gz%22	https://fireplaytv.com/wp-content/uploads/elementor/css/post-5.css?ver=1755298317	C:/Meus%20Sites/Fire/fireplaytv.com/wp-content/uploads/elementor/css/post-52456.css	(from https://fireplaytv.com/)
15:37:51	254/254	---M--	200	added ('OK')	text/css	etag:%22fe-688d43d8-13942c2f78b6e9f4;;;%22	https://fireplaytv.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.30.4	C:/Meus%20Sites/Fire/fireplaytv.com/wp-content/plugins/elementor/assets/css/widget-image.min8ca5.css	(from https://fireplaytv.com/)
15:37:51	162/162	---M--	200	added ('OK')	text/css	etag:%22a2-684976db-9d88d9b62bd34f2a;;;%22	https://fireplaytv.com/wp-content/plugins/pro-elements/assets/css/modules/sticky.min.css?ver=3.29.0	C:/Meus%20Sites/Fire/fireplaytv.com/wp-content/plugins/pro-elements/assets/css/modules/sticky.min0d09.css	(from https://fireplaytv.com/)
15:37:52	600/600	---M-Z	200	added ('OK')	text/css	etag:%22258-688d43d8-c656affadce6954d;gz%22	https://fireplaytv.com/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.30.4	C:/Meus%20Sites/Fire/fireplaytv.com/wp-content/plugins/elementor/assets/css/widget-heading.min8ca5.css	(from https://fireplaytv.com/)
15:37:52	10310/10310	---M-Z	200	added ('OK')	text/css	etag:%222846-688d43d8-992c2be543a2afd9;gz%22	https://fireplaytv.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.30.4	C:/Meus%20Sites/Fire/fireplaytv.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min8ca5.css	(from https://fireplaytv.com/)
